,SecuCode,ParValue,ShareIssued
0,000001.OF,1.0,3236830105.93
1,000003.OF,1.0,562618227.16
2,000004.OF,1.0,442799598.55
3,000005.OF,1.0,2493064197.15
4,000006.OF,1.0,177856344.09
5,000007.OF,1.0,1006342186.21
6,000008.OF,1.0,292915388.83
7,000009.OF,1.0,3017838433.09
8,000010.OF,1.0,841741198.56
9,000011.OF,1.0,1927966142.5
10,000013.OF,1.0,600000.0
11,000014.OF,1.0,
12,000014J.OF,1.0,4075949297.03
13,000015.OF,1.0,3212342409.64
14,000016.OF,1.0,2000352489.78
15,000017.OF,1.0,314757986.74
16,000020.OF,1.0,1509549609.1
17,000021.OF,1.0,14102025101.39
18,000022.OF,1.0,2212968732.5
19,000023.OF,1.0,
20,000024.OF,1.0,2785713794.41
21,000025.OF,1.0,1184409134.82
22,000026.OF,1.0,3580377780.66
23,000027.OF,1.0,782174301.82
24,000028.OF,1.0,
25,000028J.OF,1.0,526218773.24
26,000029.OF,1.0,985181503.69
27,000030.OF,1.0,
28,000030J.OF,1.0,937036422.41
29,000031.OF,1.0,4999112948.66
30,000032.OF,1.0,1182610710.1
31,000033.OF,1.0,3283006664.8
32,000037.OF,1.0,
33,000037J.OF,1.0,410479819.51
34,000038.OF,1.0,532275667.7
35,000039.OF,1.0,971415105.2
36,000041.OF,1.0,30055638128.26
37,000042.OF,1.0,247395794.87
38,000043.OF,1.0,430245997.74
39,000044.OF,1.0,7592329.66
40,000045.OF,1.0,1054871620.52
41,000046.OF,1.0,4026936914.75
42,000047.OF,1.0,4718515609.73
43,000048.OF,1.0,1205990427.54
44,000049.OF,1.0,274055778.75
45,000050.OF,1.0,2480359940.51
46,000051.OF,1.0,
47,000051J.OF,1.0,24771957170.09
48,000052.OF,1.0,854706495.72
49,000053.OF,1.0,
50,000053J.OF,1.0,1317313904.29
51,000054.OF,1.0,1254989161.79
52,000055.OF,0.1575,
53,000055J.OF,0.1634,
54,000056.OF,1.0,1243354957.58
55,000057.OF,1.0,1258335393.13
56,000058.OF,1.0,
57,000058J.OF,1.0,243508859.34
58,000059.OF,1.0,414529636.08
59,000060.OF,1.0,232026266.44
60,000061.OF,1.0,18710203946.42
61,000062.OF,1.0,
62,000062J.OF,1.0,339070719.93
63,000063.OF,1.0,
64,000063J.OF,1.0,308496450.3
65,000064.OF,1.0,1224607642.18
66,000065.OF,1.0,561200226.1
67,000066.OF,1.0,
68,000066J.OF,1.0,946263644.84
69,000067.OF,1.0,630479172.14
70,000068.OF,1.0,1689722087.81
71,000069.OF,1.0,1375789006.98
72,000070.OF,1.0,379265715.26
73,000071.OF,1.0,854728243.64
74,000072.OF,1.0,
75,000072J.OF,1.0,901938256.03
76,000073.OF,1.0,1772094176.71
77,000074.OF,1.0,3446261869.56
78,000075.OF,0.1576,
79,000076.OF,0.1576,
80,000077.OF,1.0,2662002074.58
81,000078.OF,1.0,
82,000078J.OF,1.0,903648603.48
83,000079.OF,1.0,
84,000079J.OF,1.0,310408710.82
85,000080.OF,1.0,678960508.81
86,000081.OF,1.0,265477843.51
87,000082.OF,1.0,365790517.47
88,000083.OF,1.0,846413696.44
89,000084.OF,1.0,999977258.87
90,000085.OF,1.0,3464577689.98
91,000086.OF,1.0,855619519.69
92,000087.OF,1.0,874403119.42
93,000088.OF,1.0,466900316.14
94,000089.OF,1.0,
95,000089J.OF,1.0,736029827.91
96,000090.OF,1.0,
97,000090J.OF,1.0,226704491.66
98,000091.OF,1.0,3722212226.85
99,000092.OF,1.0,2606721188.68
100,000093.OF,1.0,1115491038.17
101,000103.OF,1.0,805590351.07
102,000104.OF,1.0,
103,000104J.OF,1.0,197981907.82
104,000105.OF,1.0,2469995755.71
105,000106.OF,1.0,2388304688.38
106,000107.OF,1.0,
107,000107J.OF,1.0,1463086069.64
108,000109.OF,1.0,
109,000109J.OF,1.0,1836439608.82
110,000110.OF,1.0,
111,000110J.OF,1.0,257736730.13
112,000111.OF,1.0,884245154.5
113,000112.OF,1.0,329149377.67
114,000113.OF,1.0,1196345855.03
115,000115.OF,1.0,520384110.12
116,000116.OF,1.0,3047513506.1
117,000117.OF,1.0,4034601387.29
118,000118.OF,1.0,1172494282.35
119,000119.OF,1.0,1536003708.87
120,000120.OF,1.0,1258334107.17
121,000121.OF,1.0,1704395782.72
122,000122.OF,1.0,1613754755.23
123,000123.OF,1.0,1045814758.03
124,000124.OF,1.0,1449066584.71
125,000125.OF,1.0,439284482.3
126,000126.OF,1.0,
127,000126J.OF,1.0,4270437724.66
128,000127.OF,1.0,863696776.13
129,000128.OF,1.0,2674262264.64
130,000129.OF,1.0,1780127988.33
131,000130.OF,1.0,341983708.32
132,000131.OF,1.0,277416342.46
133,000132.OF,1.0,1492463976.47
134,000133.OF,1.0,1578598945.23
135,000134.OF,1.0,
136,000134J.OF,1.0,324148444.29
137,000135.OF,1.0,
138,000135J.OF,1.0,367677996.23
139,000136.OF,1.0,414799211.05
140,000137.OF,1.0,183256960.41
141,000138.OF,1.0,1929778893.0
142,000139.OF,1.0,121099112.46
143,000141.OF,1.0,192224179.06
144,000142.OF,1.0,
145,000142J.OF,1.0,528653648.94
146,000143.OF,1.0,822951911.75
147,000145.OF,1.0,811480378.28
148,000146.OF,1.0,584523231.43
149,000147.OF,1.0,446251828.84
150,000148.OF,1.0,572427351.74
151,000149.OF,1.0,1127577329.13
152,000150.OF,1.0,219468733.3
153,000151.OF,1.0,2165047769.29
154,000152.OF,1.0,328637758.04
155,000153.OF,1.0,657268942.55
156,000165.OF,1.0,579952698.28
157,000166.OF,1.0,
158,000166AJ.OF,1.0,313892567.45
159,000166J.OF,1.0,
160,000167.OF,1.0,3319248318.9
161,000169.OF,1.0,
162,000169J.OF,1.0,2721196489.52
163,000170.OF,1.0,
164,000170J.OF,1.0,496405460.64
165,000171.OF,1.0,618283865.01
166,000172.OF,1.0,333186365.72
167,000173.OF,1.0,669054192.59
168,000174.OF,1.0,476079649.61
169,000175.OF,1.0,619317593.63
170,000176.OF,1.0,1361684811.94
171,000177.OF,1.0,670713231.16
172,000178.OF,1.0,237382680.95
173,000179.OF,1.0,472051867.04
174,000180.OF,0.1618,28034675.92
175,000181.OF,1.0,
176,000181J.OF,1.0,542575663.62
177,000182.OF,1.0,
178,000182J.OF,1.0,522710780.89
179,000183.OF,1.0,683148772.93
180,000184.OF,1.0,398620080.44
181,000185.OF,1.0,362118164.39
182,000186.OF,1.0,386431675.29
