,0
0,1990-12-19
1,1990-12-20
2,1990-12-21
3,1990-12-24
4,1990-12-25
5,1990-12-26
6,1990-12-27
7,1990-12-28
8,1990-12-31
9,1991-01-02
10,1991-01-03
11,1991-01-04
12,1991-01-05
13,1991-01-07
14,1991-01-08
15,1991-01-09
16,1991-01-10
17,1991-01-11
18,1991-01-12
19,1991-01-14
20,1991-01-15
21,1991-01-16
22,1991-01-17
23,1991-01-18
24,1991-01-19
25,1991-01-21
26,1991-01-22
27,1991-01-23
28,1991-01-24
29,1991-01-25
30,1991-01-26
31,1991-01-28
32,1991-01-29
33,1991-01-30
34,1991-01-31
35,1991-02-01
36,1991-02-02
37,1991-02-04
38,1991-02-05
39,1991-02-06
40,1991-02-07
41,1991-02-08
42,1991-02-09
43,1991-02-11
44,1991-02-12
45,1991-02-13
46,1991-02-14
47,1991-02-19
48,1991-02-20
49,1991-02-21
50,1991-02-22
51,1991-02-23
52,1991-02-25
53,1991-02-26
54,1991-02-27
55,1991-02-28
56,1991-03-01
57,1991-03-02
58,1991-03-04
59,1991-03-05
60,1991-03-06
61,1991-03-07
62,1991-03-08
63,1991-03-09
64,1991-03-11
65,1991-03-12
66,1991-03-13
67,1991-03-14
68,1991-03-15
69,1991-03-16
70,1991-03-18
71,1991-03-19
72,1991-03-20
73,1991-03-21
74,1991-03-22
75,1991-03-23
76,1991-03-25
77,1991-03-26
78,1991-03-27
79,1991-03-28
80,1991-03-29
81,1991-03-30
82,1991-04-01
83,1991-04-02
84,1991-04-03
85,1991-04-04
86,1991-04-05
87,1991-04-06
88,1991-04-08
89,1991-04-09
90,1991-04-10
91,1991-04-11
92,1991-04-12
93,1991-04-13
94,1991-04-15
95,1991-04-16
96,1991-04-17
97,1991-04-18
98,1991-04-19
99,1991-04-20
100,1991-04-22
101,1991-04-23
102,1991-04-24
103,1991-04-25
104,1991-04-26
105,1991-04-27
106,1991-04-29
107,1991-04-30
108,1991-05-02
109,1991-05-03
110,1991-05-04
111,1991-05-06
112,1991-05-07
113,1991-05-08
114,1991-05-09
115,1991-05-10
116,1991-05-11
117,1991-05-13
118,1991-05-14
119,1991-05-15
120,1991-05-16
121,1991-05-17
122,1991-05-18
123,1991-05-20
124,1991-05-21
125,1991-05-22
126,1991-05-23
127,1991-05-24
128,1991-05-25
129,1991-05-27
130,1991-05-28
131,1991-05-29
132,1991-05-30
133,1991-05-31
134,1991-06-01
135,1991-06-03
136,1991-06-04
137,1991-06-05
138,1991-06-06
139,1991-06-07
140,1991-06-08
141,1991-06-10
142,1991-06-11
143,1991-06-12
144,1991-06-13
145,1991-06-14
146,1991-06-15
147,1991-06-17
148,1991-06-18
149,1991-06-19
150,1991-06-20
151,1991-06-21
152,1991-06-22
153,1991-06-24
154,1991-06-25
155,1991-06-26
156,1991-06-27
157,1991-06-28
158,1991-06-29
159,1991-07-01
160,1991-07-02
161,1991-07-03
162,1991-07-04
163,1991-07-05
164,1991-07-06
165,1991-07-08
166,1991-07-09
167,1991-07-10
168,1991-07-11
169,1991-07-12
170,1991-07-13
171,1991-07-15
172,1991-07-16
173,1991-07-17
174,1991-07-18
175,1991-07-19
176,1991-07-20
177,1991-07-22
178,1991-07-23
179,1991-07-24
180,1991-07-25
181,1991-07-26
182,1991-07-27
183,1991-07-29
184,1991-07-30
185,1991-07-31
186,1991-08-01
187,1991-08-02
188,1991-08-03
189,1991-08-05
190,1991-08-06
191,1991-08-07
192,1991-08-08
193,1991-08-09
194,1991-08-10
195,1991-08-12
196,1991-08-13
197,1991-08-14
198,1991-08-15
199,1991-08-16
200,1991-08-17
201,1991-08-19
202,1991-08-20
203,1991-08-21
204,1991-08-22
205,1991-08-23
206,1991-08-24
207,1991-08-26
208,1991-08-27
209,1991-08-28
210,1991-08-29
211,1991-08-30
212,1991-08-31
213,1991-09-02
214,1991-09-03
215,1991-09-04
216,1991-09-05
217,1991-09-06
218,1991-09-07
219,1991-09-09
220,1991-09-10
221,1991-09-11
222,1991-09-12
223,1991-09-13
224,1991-09-14
225,1991-09-16
226,1991-09-17
227,1991-09-18
228,1991-09-19
229,1991-09-20
230,1991-09-21
231,1991-09-23
232,1991-09-24
233,1991-09-25
234,1991-09-26
235,1991-09-27
236,1991-09-28
237,1991-09-29
238,1991-09-30
239,1991-10-03
240,1991-10-04
241,1991-10-05
242,1991-10-07
243,1991-10-08
244,1991-10-09
245,1991-10-10
246,1991-10-11
247,1991-10-12
248,1991-10-14
249,1991-10-15
250,1991-10-16
251,1991-10-17
252,1991-10-18
253,1991-10-19
254,1991-10-21
255,1991-10-22
256,1991-10-23
257,1991-10-24
258,1991-10-25
259,1991-10-26
260,1991-10-28
261,1991-10-29
262,1991-10-30
263,1991-10-31
264,1991-11-01
265,1991-11-02
266,1991-11-04
267,1991-11-05
268,1991-11-06
269,1991-11-07
270,1991-11-08
271,1991-11-09
272,1991-11-11
273,1991-11-12
274,1991-11-13
275,1991-11-14
276,1991-11-15
277,1991-11-16
278,1991-11-18
279,1991-11-19
280,1991-11-20
281,1991-11-21
282,1991-11-22
283,1991-11-23
284,1991-11-25
285,1991-11-26
286,1991-11-27
287,1991-11-28
288,1991-11-29
289,1991-11-30
290,1991-12-02
291,1991-12-03
292,1991-12-04
293,1991-12-05
294,1991-12-06
295,1991-12-07
296,1991-12-09
297,1991-12-10
298,1991-12-11
299,1991-12-12
300,1991-12-13
301,1991-12-14
302,1991-12-16
303,1991-12-17
304,1991-12-18
305,1991-12-19
306,1991-12-20
307,1991-12-21
308,1991-12-23
309,1991-12-24
310,1991-12-25
311,1991-12-26
312,1991-12-27
313,1991-12-28
314,1991-12-30
315,1991-12-31
316,1992-01-02
317,1992-01-03
318,1992-01-04
319,1992-01-05
320,1992-01-06
321,1992-01-07
322,1992-01-08
323,1992-01-09
324,1992-01-10
325,1992-01-11
326,1992-01-12
327,1992-01-13
328,1992-01-14
329,1992-01-15
330,1992-01-16
331,1992-01-17
332,1992-01-18
333,1992-01-19
334,1992-01-20
335,1992-01-21
336,1992-01-22
337,1992-01-23
338,1992-01-24
339,1992-01-25
340,1992-01-26
341,1992-01-27
342,1992-01-28
343,1992-01-29
344,1992-01-30
345,1992-01-31
346,1992-02-01
347,1992-02-02
348,1992-02-03
349,1992-02-04
350,1992-02-05
351,1992-02-06
352,1992-02-07
353,1992-02-08
354,1992-02-09
355,1992-02-10
356,1992-02-11
357,1992-02-12
358,1992-02-13
359,1992-02-14
360,1992-02-15
361,1992-02-16
362,1992-02-17
363,1992-02-18
364,1992-02-19
365,1992-02-20
366,1992-02-21
367,1992-02-22
368,1992-02-23
369,1992-02-24
370,1992-02-25
371,1992-02-26
372,1992-02-27
373,1992-02-28
374,1992-02-29
375,1992-03-01
376,1992-03-02
377,1992-03-03
378,1992-03-04
379,1992-03-05
380,1992-03-06
381,1992-03-07
382,1992-03-08
383,1992-03-09
384,1992-03-10
385,1992-03-11
386,1992-03-12
387,1992-03-13
388,1992-03-14
389,1992-03-15
390,1992-03-16
391,1992-03-17
392,1992-03-18
393,1992-03-19
394,1992-03-20
395,1992-03-21
396,1992-03-22
397,1992-03-23
398,1992-03-24
399,1992-03-25
400,1992-03-26
401,1992-03-27
402,1992-03-28
403,1992-03-29
404,1992-03-30
405,1992-03-31
406,1992-04-01
407,1992-04-02
408,1992-04-03
409,1992-04-04
410,1992-04-05
411,1992-04-06
412,1992-04-07
413,1992-04-08
414,1992-04-09
415,1992-04-10
416,1992-04-11
417,1992-04-12
418,1992-04-13
419,1992-04-14
420,1992-04-15
421,1992-04-16
422,1992-04-17
423,1992-04-18
424,1992-04-19
425,1992-04-20
426,1992-04-21
427,1992-04-22
428,1992-04-23
429,1992-04-24
430,1992-04-25
431,1992-04-26
432,1992-04-27
433,1992-04-28
434,1992-04-29
435,1992-04-30
436,1992-05-01
437,1992-05-02
438,1992-05-03
439,1992-05-04
440,1992-05-05
441,1992-05-06
442,1992-05-07
443,1992-05-08
444,1992-05-09
445,1992-05-10
446,1992-05-11
447,1992-05-12
448,1992-05-13
449,1992-05-14
450,1992-05-15
451,1992-05-16
452,1992-05-17
453,1992-05-18
454,1992-05-19
455,1992-05-20
456,1992-05-21
457,1992-05-22
458,1992-05-23
459,1992-05-24
460,1992-05-25
461,1992-05-26
462,1992-05-27
463,1992-05-28
464,1992-05-29
465,1992-05-30
466,1992-05-31
467,1992-06-01
468,1992-06-02
469,1992-06-03
470,1992-06-04
471,1992-06-05
472,1992-06-06
473,1992-06-07
474,1992-06-08
475,1992-06-09
476,1992-06-10
477,1992-06-11
478,1992-06-12
479,1992-06-13
480,1992-06-14
481,1992-06-15
482,1992-06-16
483,1992-06-17
484,1992-06-18
485,1992-06-19
486,1992-06-20
487,1992-06-21
488,1992-06-22
489,1992-06-23
490,1992-06-24
491,1992-06-25
492,1992-06-26
493,1992-06-27
494,1992-06-28
495,1992-06-29
496,1992-06-30
497,1992-07-01
498,1992-07-02
499,1992-07-03
500,1992-07-04
501,1992-07-05
502,1992-07-06
503,1992-07-07
504,1992-07-08
505,1992-07-09
506,1992-07-10
507,1992-07-11
508,1992-07-12
509,1992-07-13
510,1992-07-14
511,1992-07-15
512,1992-07-16
513,1992-07-17
514,1992-07-18
515,1992-07-19
516,1992-07-20
517,1992-07-21
518,1992-07-22
519,1992-07-23
520,1992-07-24
521,1992-07-25
522,1992-07-26
523,1992-07-27
524,1992-07-28
525,1992-07-29
526,1992-07-30
527,1992-07-31
528,1992-08-01
529,1992-08-02
530,1992-08-03
531,1992-08-04
532,1992-08-05
533,1992-08-06
534,1992-08-07
535,1992-08-08
536,1992-08-09
537,1992-08-10
538,1992-08-11
539,1992-08-12
540,1992-08-13
541,1992-08-14
542,1992-08-15
543,1992-08-16
544,1992-08-17
545,1992-08-18
546,1992-08-19
547,1992-08-20
548,1992-08-21
549,1992-08-22
550,1992-08-23
551,1992-08-24
552,1992-08-25
553,1992-08-26
554,1992-08-27
555,1992-08-28
556,1992-08-29
557,1992-08-30
558,1992-08-31
559,1992-09-01
560,1992-09-02
561,1992-09-03
562,1992-09-04
563,1992-09-05
564,1992-09-06
565,1992-09-07
566,1992-09-08
567,1992-09-09
568,1992-09-10
569,1992-09-11
570,1992-09-12
571,1992-09-13
572,1992-09-14
573,1992-09-15
574,1992-09-16
575,1992-09-17
576,1992-09-18
577,1992-09-19
578,1992-09-20
579,1992-09-21
580,1992-09-22
581,1992-09-23
582,1992-09-24
583,1992-09-25
584,1992-09-26
585,1992-09-27
586,1992-09-28
587,1992-09-29
588,1992-09-30
589,1992-10-01
590,1992-10-02
591,1992-10-03
592,1992-10-04
593,1992-10-05
594,1992-10-06
595,1992-10-07
596,1992-10-08
597,1992-10-09
598,1992-10-10
599,1992-10-11
600,1992-10-12
601,1992-10-13
602,1992-10-14
603,1992-10-15
604,1992-10-16
605,1992-10-17
606,1992-10-18
607,1992-10-19
608,1992-10-20
609,1992-10-21
610,1992-10-22
611,1992-10-23
612,1992-10-24
613,1992-10-25
614,1992-10-26
615,1992-10-27
616,1992-10-28
617,1992-10-29
618,1992-10-30
619,1992-10-31
620,1992-11-01
621,1992-11-02
622,1992-11-03
623,1992-11-04
624,1992-11-05
625,1992-11-06
626,1992-11-07
627,1992-11-08
628,1992-11-09
629,1992-11-10
630,1992-11-11
631,1992-11-12
632,1992-11-13
633,1992-11-14
634,1992-11-15
635,1992-11-16
636,1992-11-17
637,1992-11-18
638,1992-11-19
639,1992-11-20
640,1992-11-21
641,1992-11-22
642,1992-11-23
643,1992-11-24
644,1992-11-25
645,1992-11-26
646,1992-11-27
647,1992-11-28
648,1992-11-29
649,1992-11-30
650,1992-12-01
651,1992-12-02
652,1992-12-03
653,1992-12-04
654,1992-12-05
655,1992-12-06
656,1992-12-07
657,1992-12-08
658,1992-12-09
659,1992-12-10
660,1992-12-11
661,1992-12-12
662,1992-12-13
663,1992-12-14
664,1992-12-15
665,1992-12-16
666,1992-12-17
667,1992-12-18
668,1992-12-19
669,1992-12-20
670,1992-12-21
671,1992-12-22
672,1992-12-23
673,1992-12-24
674,1992-12-25
675,1992-12-26
676,1992-12-27
677,1992-12-28
678,1992-12-29
679,1992-12-30
680,1992-12-31
681,1993-01-03
682,1993-01-04
683,1993-01-05
684,1993-01-06
685,1993-01-07
686,1993-01-08
687,1993-01-11
688,1993-01-12
689,1993-01-13
690,1993-01-14
691,1993-01-15
692,1993-01-18
693,1993-01-19
694,1993-01-20
695,1993-01-21
696,1993-01-22
697,1993-01-27
698,1993-01-28
699,1993-01-29
700,1993-02-01
701,1993-02-02
702,1993-02-03
703,1993-02-04
704,1993-02-05
705,1993-02-08
706,1993-02-09
707,1993-02-10
708,1993-02-11
709,1993-02-12
710,1993-02-15
711,1993-02-16
712,1993-02-17
713,1993-02-18
714,1993-02-19
715,1993-02-22
716,1993-02-23
717,1993-02-24
718,1993-02-25
719,1993-02-26
720,1993-03-01
721,1993-03-02
722,1993-03-03
723,1993-03-04
724,1993-03-05
725,1993-03-08
726,1993-03-09
727,1993-03-10
728,1993-03-11
729,1993-03-12
730,1993-03-15
731,1993-03-16
732,1993-03-17
733,1993-03-18
